,IUPAC,SMILES
44,1-allyl-3-methylimizodalium acetate,QUERY NOT FOUND
45,1-allyl-3-methyl-1H-imidazol-3-ium propionate,QUERY NOT FOUND
46,1-allyl-3-methylimizodalium lactate,QUERY NOT FOUND
47,1-allyl-3-methylimizodalium glycollate,QUERY NOT FOUND
48,1-allyl-3-methylimizodalium benzoate,QUERY NOT FOUND
49,1-allyl-3-methylimizodalium butanoate,QUERY NOT FOUND
50,1-butylpyridinium tetrafluoroborate,CCCC[n+]1ccccc1.[B-](F)(F)(F)F
51,1-allyl-3-methylimidazolium chloride,C[n+]1ccn(c1)CC=C.[Cl-]
52,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
53,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,CCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
54,1-butyl-3-methylimidazolium octyl sulfate,CCCCn1cc[n+](c1)C.CCCCCCCCOS(=O)(=O)[O-]
55,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
56,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
57,ammonium dinitramide,QUERY NOT FOUND
58,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
59,tetramethylguanidinium nitrate,QUERY NOT FOUND
60,tetramethylguanidinium nitrate,QUERY NOT FOUND
61,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
62,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
63,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),QUERY NOT FOUND
64,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[O-]
65,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[O-]
66,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[O-]
67,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[O-]
68,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
69,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCCn1cc[n+](c1C)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
70,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
71,ethylammonium formate,CC[NH3+].C(=O)[O-]
72,ethylammonium propionate,CC[NH3+].CCC(=O)[O-]
73,ethylammonium butyrate,CC[NH3+].CCCC(=O)[O-]
74,diethylammonium acetate,CC[NH2+]CC.CC(=O)[O-]
75,triethylammonium acetate,CC[NH+](CC)CC.CC(=O)[O-]
76,triethylammonium hydrogen sulfate,CC[NH+](CC)CC.OS(=O)(=O)[O-]
77,trimethylammonium acetate,C[NH+](C)C.CC(=O)[O-]
78,trimethylammonium hydrogen sulfate,C[NH+](C)C.OS(=O)(=O)[O-]
79,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
80,trihexyl(tetradecyl)phosphonium hexafluorophosphate(V),QUERY NOT FOUND
81,trihexyl(tetradecyl)-phosphonium tetrafluoroborate,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC.[B-](F)(F)(F)F
82,1-ethyl-3-methylimidazolium lactate,CCn1cc[n+](c1)C.CC(C(=O)[O-])O
83,1-pentyl-3-methylimidazolium lactate,QUERY NOT FOUND
84,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
85,tributylheptylammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
86,heptyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
87,trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
88,"N,N,N-tributyloctan-1-aminium trifluoromethanesulfonate",QUERY NOT FOUND
89,ethylheptyl-di-(1-methylethyl)ammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
90,tributyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
91,hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
92,tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide,QUERY NOT FOUND
93,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,[P+](CC)(CC)(CC)(CCCCCCCC).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
94,triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide,[P+](CC)(CC)(CC)(CCCCCCC).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
95,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,[P+](CC)(CC)(CC)(CCCCCC).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
96,1-ethyl-3-methylimidazolium dicyanamide,CCn1cc[n+](c1)C.C(#N)[N-]C#N
97,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
98,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
99,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
100,1-butyl-3-methylimidazolium dicyanamide,CCCCn1cc[n+](c1)C.C(#N)[N-]C#N
101,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
102,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
103,1-butyl-3-methylimidazolium methanesulfonate,CCCCn1cc[n+](c1)C.CS(=O)(=O)[O-]
104,1-methyl-3-octylimidazolium chloride,CCCCCCCCn1cc[n+](c1)C.[Cl-]
105,1-butyl-3-methylimidazolium methylsulfate,CCCCn1cc[n+](c1)C.COS(=O)(=O)[O-]
106,1-butyl-3-methylimidazolium octyl sulfate,CCCCn1cc[n+](c1)C.CCCCCCCCOS(=O)(=O)[O-]
107,"1-methyl-3-pentylimidazolium 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",QUERY NOT FOUND
108,1-methyl-3-pentyl-imidazolium tetrafluoroborate,c1c[n+](cn1CCCCC)C.[B-](F)(F)(F)F
109,1-methyl-3-pentylimidazolium nitrate,c1c[n+](cn1CCCCC)C.[N+](=O)([O-])[O-]
110,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
111,1-hexyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,CCCCCCn1cc[n+](c1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F
112,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
113,1-hexyl-3-methylimidazolium nitrate,CCCCCCn1cc[n+](c1)C.[N+](=O)([O-])[O-]
114,"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",QUERY NOT FOUND
115,"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",QUERY NOT FOUND
116,"3,3'-(1,6-hexanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",QUERY NOT FOUND
117,"3,3'-(1,6-hexanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",QUERY NOT FOUND
118,"3,3'-(1,8-octanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",QUERY NOT FOUND
119,"3,3'-(1,9-nonanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",QUERY NOT FOUND
120,"3,3'-(1,9-nonanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",QUERY NOT FOUND
121,"3,3'-(1,9-nonanediyl)bis[1-methylimidazolium] tetrafluoroborate",QUERY NOT FOUND
122,"3,3'-(1,10-decanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",QUERY NOT FOUND
123,1-propyl-3-methylimidazolium tetrafluoroborate,CCCn1cc[n+](c1)C.[B-](F)(F)(F)F
124,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
125,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",QUERY NOT FOUND
126,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
127,"1,1'-(dodecane-1,12-diyl)bis(3-methyl-1H-imidazolium) tetrafluoroborate",QUERY NOT FOUND
128,"3,3'-(1,12-dodecanediyl)bis[1-methylimidazolium] bis((perfluoroethyl)sulfonyl)amide",QUERY NOT FOUND
129,"3,3'-(1,12-dodecanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",QUERY NOT FOUND
130,"3,3'-(1,10-decanediyl)bis[1-methylimidazolium] tetrafluoroborate",QUERY NOT FOUND
131,"3,3'-(1,10-decanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",QUERY NOT FOUND
132,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,c1c[n+](cn1CCCCC)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
133,1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,CCCCn1cc[n+](c1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F
134,1-methyl-3-propylimidazolium nitrate,CCCn1cc[n+](c1)C.[N+](=O)([O-])[O-]
135,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
136,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
137,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
138,1-butyl-3-methylimidazolium nitrate,CCCCn1cc[n+](c1)C.[N+](=O)([O-])[O-]
139,"1-methyl-3-propyl-1H-imidazolium 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonimidate",QUERY NOT FOUND
140,1-butyl-3-methylimidazolium acetate,CCCCn1cc[n+](c1)C.CC(=O)[O-]
141,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCCn1cc[n+](c1C)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
142,1-butyl-3-methylimidazolium acetate,CCCCn1cc[n+](c1)C.CC(=O)[O-]
143,1-butyl-3-methylimidazolium thiocyanate,CCCCn1cc[n+](c1)C.C(#N)[S-]
144,1-butyl-3-methylimidazolium methylsulfate,CCCCn1cc[n+](c1)C.COS(=O)(=O)[O-]
145,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",QUERY NOT FOUND
146,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",CC[n+]1cn(cc1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F
147,"1-heptyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",QUERY NOT FOUND
148,"1-dodecyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",QUERY NOT FOUND
149,3-hexyl-1-methyl-1H-imidazolium bromide,CCCCCC[n+]1cc[n](c1)C.[Br-]
150,3-hexyl-1-methyl-1H-imidazolium bromide,CCCCCC[n+]1cc[n](c1)C.[Br-]
151,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
152,3-hexyl-1-methyl-1H-imidazolium bromide,CCCCCC[n+]1cc[n](c1)C.[Br-]
153,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
154,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
155,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
156,1-ethyl-3-methylimidazolium methanesulfonate,CCn1cc[n+](c1)C.CS(=O)(=O)[O-]
157,1-ethyl-3-methylimidazolium acetate,CCn1cc[n+](c1)C.CC(=O)[O-]
158,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
159,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
160,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
161,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
162,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
163,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
164,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
165,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
166,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
167,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
168,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
169,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
170,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
171,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[O-]
172,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1(CCCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
173,ethylammonium nitrate,CC[NH3+].[N+](=O)([O-])[O-]
174,tetradecyl(trihexyl)phosphonium dicyanamide,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC.C(#N)[N-]C#N
175,1-ethyl-3-methylimidazolium diethylphosphate,CCn1cc[n+](c1)C.CCOP(=O)([O-])OCC
176,1-ethyl-3-methylimidazolium acetate,CCn1cc[n+](c1)C.CC(=O)[O-]
177,"1-hexyl-2,4-dimethylpyridinium bis((trifluoromethyl)sulfonyl)amide",QUERY NOT FOUND
178,3-ethyl-1-methylimidazolium butyl sulfate,CCn1cc[n+](c1)C.CCCCOS(=O)(=O)[O-]
179,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
180,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,CCn1c[n+](cc1)C.CCCCCCOS(=O)(=O)[O-]
181,1-ethyl-3-methylimidazolium octyl sulfate,CCn1cc[n+](c1)C.CCCCCCCCOS(=O)(=O)[O-]
182,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
183,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
184,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
185,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
186,1-butyl-1-methylpyrrolidinium dicyanamide,CCCC[N+]1(CCCC1)C.C(#N)[N-]C#N
187,1-butyl-3-methylimidazolium dibutyl phosphate,QUERY NOT FOUND
188,"1,3-diethyl-1H-imidazol-3-ium diethyl phosphate",QUERY NOT FOUND
189,1-butyl-3-ethyl-1H-imidazol-3-ium diethyl phosphate,QUERY NOT FOUND
190,"1,3-dimethylimidazolium dimethylphosphate",Cn1cc[n+](c1)C.COP(=O)([O-])OC
191,1-ethyl-3-methylimidazolium diethylphosphate,CCn1cc[n+](c1)C.CCOP(=O)([O-])OCC
192,1-butyl-3-methylimidazolium methylsulfate,CCCCn1cc[n+](c1)C.COS(=O)(=O)[O-]
193,1-ethyl-3-methylimidazolium methylsulfate,CCn1cc[n+](c1)C.COS(=O)(=O)[O-]
194,"1,3-dimethylimidazolium methylsulfate",Cn1cc[n+](c1)C.COS(=O)(=O)[O-]
195,1-butyl-3-methylimidazolium methylsulfate,CCCCn1cc[n+](c1)C.COS(=O)(=O)[O-]
196,1-ethyl-3-methylimidazolium methylsulfate,CCn1cc[n+](c1)C.COS(=O)(=O)[O-]
197,"1,3-dimethylimidazolium methylsulfate",Cn1cc[n+](c1)C.COS(=O)(=O)[O-]
198,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
199,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
200,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-]
201,"1,3-dimethylimidazolium methylsulfate",Cn1cc[n+](c1)C.COS(=O)(=O)[O-]
202,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
203,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
204,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
205,"1,3-dimethylimidazolium methylsulfate",Cn1cc[n+](c1)C.COS(=O)(=O)[O-]
206,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
207,"1,3-dimethylimidazolium methylsulfate",Cn1cc[n+](c1)C.COS(=O)(=O)[O-]
208,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
209,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
210,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
211,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
212,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
213,tetrapropylammonium bromide,QUERY NOT FOUND
214,ammonium dinitramide,QUERY NOT FOUND
215,"1-butyl-2,3-dimethylpyridinium bis(trifluoromethylsulfonyl)amide",QUERY NOT FOUND
216,"1-butyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)amide",QUERY NOT FOUND
217,1-butyl-5-ethyl-2-methylpyridinium bis(trifluoromethylsulfonyl)amide,QUERY NOT FOUND
218,"2,3-dimethyl-1-octylpyridinium thiocyanate",QUERY NOT FOUND
219,"3,5-dimethyl-1-octylpyridinium thiocyanate",QUERY NOT FOUND
220,"3,5-dimethyl-1-octylpyridinium dicyanamide",QUERY NOT FOUND
221,"2,3-dimethyl-1-octylpyridinium 1,1,1-trifluoromethanesulfonate",QUERY NOT FOUND
222,"1-butyl-2,3-dimethylpyridinium 1,1,1-trifluoromethanesulfonate",QUERY NOT FOUND
223,"1-butyl-3,5-dimethylpyridinium 1,1,1-trifluoromethanesulfonate",QUERY NOT FOUND
224,"2,3,5-trimethyl-1-octylpyridinium bis(trifluoromethylsulfonyl)amide",QUERY NOT FOUND
225,"1-butyl-2,3,5-trimethylpyridinium bis(trifluoromethylsulfonyl)amide",QUERY NOT FOUND
